nama, latitude, longitude
Kab. Cilacap, -7.697496156734925, 109.02476898398781
Kab. Banyumas, -7.4953424199847225, 109.18650580851123
Kab. Purbalingga, -7.385875489410381, 109.3628779923818
Kab. Banjarnegara, -7.440362137891868, 109.55029076019085
Kab. Kebumen, -7.670450135129013, 109.66149219104776
Kab. Purworejo, -7.710019312913201, 110.0111453662647
Kab. Wonosobo, -7.365037638457314, 109.8946757964794
Kab. Magelang, -7.525788596351549, 110.20835996874321
Kab. Boyolali, -7.410893809515812, 110.691765162755
Kab. Klaten, -7.738731343535067, 110.65860020096429
Kab. Sukoharjo, -7.679413722023914, 110.82317644077617
Kab. Wonogiri, -7.7972777267639275, 110.94127597782499
Kab. Karanganyar, -7.605955477810323, 110.99535294424223
Kab. Sragen, -7.417440259893607, 111.02186078031758
Kab. Grobogan, -7.112196766532822, 110.89824825502774
Kab. Blora, -6.9714171944052, 111.41757575332082
Kab. Rembang, -6.707772695970549, 111.32985247108793
Kab. Pati, -6.751701240629923, 111.03836450004772
Kab. Kudus, -6.807167506445348, 110.8432414621177
Kab. Jepara, -6.574494391207852, 110.70951570339275
Kab. Demak, -6.901889349436046, 110.63694927665902
Kab. Semarang, -7.2475760645338, 110.47032407888761
Kab. Temanggung, -7.314110876465195, 110.17750536430086
Kab. Kendal, -6.933137865959421, 110.2025539921475
Kab. Batang, -6.90724506488988, 109.73633724541077
Kab. Pekalongan, -7.035718423991715, 109.61496018097625
Kab. Pemalang, -6.889188500081462, 109.38413391210739
Kab. Tegal, -6.8700788582352095, 109.1145698998589
Kab. Brebes, -6.860955045588764, 109.04105223952187
Kota Magelang, -7.482219644993349, 110.21797300542528
Kota Surakarta, -7.575713198133145, 110.82481914314764
Kota Salatiga, -7.332031881949218, 110.50671628918406
Kota Semarang, -6.979742019463311, 110.41294089252634
Kota Pekalongan, -6.8894642471989025, 109.67364408672837
Kota Tegal, -6.879818842516516, 109.12606475513263
