nama, latitude, longitude
Kab. Pacitan, -8.177323806534394, 111.10770151750764
Kab. Ponorogo, -7.865103528356893, 111.4730922204614
Kab. Trenggalek, -8.076307732008054, 111.70063511910173
Kab. Tulungagung, -8.091539441759526, 111.9643023717132
Kab. Blitar, -8.102342843601345, 112.24471457618077
Kab. Kediri, -7.82125916660117, 112.08488200465413
Kab. Malang, -8.134163694233234, 112.63507808718062
Kab. Lumajang, -8.130127183448247, 113.23011630973504
Kab. Jember, -8.173073570262172, 113.69733726028785
Kab. Banyuwangi, -8.27948090376484, 114.18710218968774
Kab. Bondowoso, -7.916009181648143, 113.82408603560302
Kab. Situbondo, -7.70729762421013, 114.00609799696372
Kab. Probolinggo, -7.842296631677476, 113.27597343020625
Kab. Pasuruan, -7.738966278702169, 112.81538653426237
Kab. Sidoarjo, -7.4473886337767, 112.70170983678825
Kab. Mojokerto, -7.559467850285092, 112.47348971567436
Kab. Jombang, -7.519244141911187, 112.24204754420323
Kab. Nganjuk, -7.603540683203973, 111.90193303199736
Kab. Madiun, -7.611787327657171, 111.64728629239715
Kab. Magetan, -7.654000740225042, 111.32677487087251
Kab. Ngawi, -7.4065865326391815, 111.42777015843333
Kab. Bojonegoro, -7.152781552855546, 111.88250387096605
Kab. Tuban, -6.89455944034991, 112.04140755172723
Kab. Lamongan, -7.120194914485467, 112.40990543894152
Kab. Gresik, -7.163450248324775, 112.61241087189818
Kab. Bangkalan, -7.024390920247418, 112.75126205403676
Kab. Sampang, -7.191321342405686, 113.24811215198376
Kab. Pamekasan, -7.1535343363510036, 113.46918583644658
Kab. Sumenep, -7.038495084208402, 113.82824186748068
Kota Kediri, -7.848195948847584, 112.02064631949801
Kota Blitar, -8.094185265028804, 112.16025718247391
Kota Malang, -7.961473450954321, 112.63370479622604
Kota Probolinggo, -7.771547383473535, 113.19769584579502
Kota Pasuruan, -7.64642293025579, 112.90533709178756
Kota Mojokerto, -7.4689282540995805, 112.4391574418098
Kota Madiun, -7.630843563446938, 111.53055656125763
Kota Surabaya, -7.255518607569447, 112.7521614328452
Kota Batu, -7.882993782767594, 112.53311844025403
